YEAR,STAKE,ELEV,BA
2020,2,60.109,-3.86
2020,3,130.081,-2.97
2020,4,203.21,-2.55
2020,5,274.748,-2.17
2020,6,380.231,-1.80
2019,2,60.109,-2.921730119
2019,3,130.081,-1.979655285
2019,4,203.21,-1.716319407
2019,5,274.748,-1.070033817
2019,6,380.231,0.101996291
2018,2,60.109,-3.110886877
2018,3,130.081,-2.932856987
2018,4,203.21,-2.044562016
2018,5,274.748,-1.720955602
2018,6,380.231,-0.424675466
2017,2,60.109,-2.895767427
2017,3,130.081,-2.478509872
2017,4,203.21,-2.353332606
2017,5,274.748,-2.086287771
2016,1,3.437,-2.807679721
2016,2,60.109,-2.528580779
2016,3,130.081,-2.128013527
2016,4,203.21,-1.435365987
2016,5,274.748,-1.159976001
2016,6,380.231,-0.784444202
2016,7,469.437,-0.826169957
2016,8,558.437,0
2015,1,3.437,-2.737209556
2015,2,60.109,-2.520235628
2015,3,130.081,-1.852623541
2015,4,203.21,-0.976382677
2015,5,274.748,-1.118250245
2015,6,380.231,-0.050070907
2015,7,469.437,0
2015,8,558.437,0
2014,2,60.109,-1.512
2014,3,130.081,-1.125
2014,4,203.21,-1.076
2014,5,274.748,-0.855
2014,6,380.231,-0.045
2014,7,469.437,0
2014,8,558.437,0
